id,word,meaning,day,week_start,date_sent
1,sullen,angry or unwilling to smile to people,monday,2025-05-05,2025-05-05
2,beget,father or sire a child,monday,2025-05-05,2025-05-05
3,parody,to copy the style of someone else but in a humourous way,monday,2025-05-05,2025-05-05
4,malady,a disease,monday,2025-05-05,2025-05-05
5,epiphany,a moment of sudden realization of something important to you,monday,2025-05-05,2025-05-05
6,visceral,based on deep feeling and emotional reactions rather than on reason or thoughts,monday,2025-05-05,2025-05-05
7,patent,to get official right to divest or make an invention,monday,2025-05-05,2025-05-05
8,meager,lacking in quantity or quality,monday,2025-05-05,2025-05-05
9,staunchly,very loyal and commited manner,monday,2025-05-05,2025-05-05
10,sparingly,in small amounts,monday,2025-05-05,2025-05-05
11,rudimentary,"immature, only basic and not deep or detailed",monday,2025-05-05,2025-05-05
12,inconsequential,not important or significant,monday,2025-05-05,2025-05-05
13,veto,to refuse to allow something to be done,monday,2025-05-05,2025-05-05
14,Wabi-sabi,find beauty in imprefection,monday,2025-05-05,2025-05-05
15,Proteus,sheer,monday,2025-05-05,2025-05-05
16,milieu,a person's social environment,monday,2025-05-05,2025-05-05
17,sentiment,"refers to a view, opinion or feeling about something",monday,2025-05-05,2025-05-05
18,definitive,not able to be changed or improved,monday,2025-05-05,2025-05-05
19,belligerently,hostile and aggressive,monday,2025-05-05,2025-05-05
20,Diplomatic,"The art of dealing with people in a sensitive and effective way, often involving negotiation and tact",monday,2025-05-05,2025-05-05
21,indelible,making marks that cannot be removed,tuesday,2025-05-05,2025-05-06
22,vaunt,to speak proudly about or praise something,tuesday,2025-05-05,2025-05-06
23,requisite,made necessary,tuesday,2025-05-05,2025-05-06
24,conflate,to combine two or more things into one,tuesday,2025-05-05,2025-05-06
25,perfidious,"unable to be trusted, showing no loyalty",tuesday,2025-05-05,2025-05-06
26,subterfuge,deceipt used in order to acheive one's goal,tuesday,2025-05-05,2025-05-06
27,taciturn,tending not to speak much,tuesday,2025-05-05,2025-05-06
28,epitome,a person or thing who serves a perfect example of a quality,tuesday,2025-05-05,2025-05-06
29,lavish,spending something in generous or extravagant quantities,tuesday,2025-05-05,2025-05-06
30,valor,great courage,tuesday,2025-05-05,2025-05-06
31,abuzz,filled with a continuous humming sound,tuesday,2025-05-05,2025-05-06
32,gregarious,wanting to be with other people,tuesday,2025-05-05,2025-05-06
33,pseudo,"not genuine, spurious or sham",tuesday,2025-05-05,2025-05-06
34,beget,father or sire a child,tuesday,2025-05-05,2025-05-06
35,voluptuousness,"quality of being soft, curved and sexually attractive",tuesday,2025-05-05,2025-05-06
36,arduous,involving or requiring strenuous effort,tuesday,2025-05-05,2025-05-06
37,erratic,"not even or according to pattern, unpredictable",tuesday,2025-05-05,2025-05-06
38,recourse,a way of dealing with a difficult or unpleasant situation,tuesday,2025-05-05,2025-05-06
39,vanity,the fact that you are too interested in your appearance or achievements,tuesday,2025-05-05,2025-05-06
40,concession,something given up inorder for a successful detante,tuesday,2025-05-05,2025-05-06
41,incapacitated,"deprived of strength or power, debilitated,render them inactive to do the normal;",wednesday,2025-05-05,2025-05-07
42,invaluable,"extremely useful, indispensable",wednesday,2025-05-05,2025-05-07
43,disgruntled,angry or dissatisfied,wednesday,2025-05-05,2025-05-07
44,avid,having or showing a keen interest in something,wednesday,2025-05-05,2025-05-07
